team,wins,losses,win_pct,ppg,opp_ppg,point_diff
Western Illinois Leathernecks,5,2,0.7142857142857143,83.85714285714286,69.14285714285714,14.714285714285714
Colorado State Rams,17,23,0.425,69.05,69.75,-0.7
Illinois Fighting Illini,98,51,0.6577181208053692,78.45637583892618,71.3758389261745,7.080536912751678
Boise State Broncos,15,19,0.4411764705882353,69.47058823529412,72.20588235294117,-2.735294117647059
San José State Spartans,6,18,0.25,69.08333333333333,79.95833333333333,-10.875
UNLV Rebels,14,11,0.56,70.16,68.8,1.36
Oregon State Beavers,13,21,0.38235294117647056,68.11764705882354,73.79411764705883,-5.676470588235294
Portland State Vikings,4,6,0.4,74.1,73.8,0.3
Fresno State Bulldogs,5,22,0.18518518518518517,62.370370370370374,71.88888888888889,-9.518518518518519
San Diego Toreros,2,18,0.1,62.65,81.9,-19.25
Temple Owls,5,13,0.2777777777777778,61.888888888888886,71.72222222222223,-9.833333333333334
Elon Phoenix,2,9,0.18181818181818182,65.27272727272727,76.18181818181819,-10.909090909090908
Michigan Wolverines,53,40,0.5698924731182796,73.90322580645162,71.41935483870968,2.4838709677419355
Harvard Crimson,9,7,0.5625,66.875,66.0,0.875
Cal Poly Mustangs,3,13,0.1875,63.9375,72.4375,-8.5
Long Beach State Beach,8,12,0.4,70.7,77.4,-6.7
Fairfield Stags,12,15,0.4444444444444444,62.74074074074074,65.03703703703704,-2.2962962962962963
Charleston Cougars,13,9,0.5909090909090909,76.0,73.5,2.5
Marquette Golden Eagles,78,42,0.65,75.75,70.63333333333334,5.116666666666666
Iowa State Cyclones,67,58,0.536,70.6,67.616,2.984
Pennsylvania Quakers,10,17,0.37037037037037035,67.62962962962963,74.4074074074074,-6.777777777777778
Southern Miss Golden Eagles,7,7,0.5,66.71428571428571,72.28571428571429,-5.571428571428571
Creighton Bluejays,83,49,0.6287878787878788,75.85606060606061,69.9469696969697,5.909090909090909
Western Kentucky Hilltoppers,6,12,0.3333333333333333,67.66666666666667,71.72222222222223,-4.055555555555555
Dayton Flyers,51,16,0.7611940298507462,73.70149253731343,64.7910447761194,8.91044776119403
Ole Miss Rebels,32,40,0.4444444444444444,71.73611111111111,72.19444444444444,-0.4583333333333333
Saint Joseph's Hawks,4,13,0.23529411764705882,68.58823529411765,77.0,-8.411764705882353
Butler Bulldogs,21,44,0.3230769230769231,66.36923076923077,72.86153846153846,-6.492307692307692
Alcorn State Braves,9,16,0.36,65.72,77.32,-11.6
Duquesne Dukes,6,12,0.3333333333333333,68.33333333333333,72.0,-3.6666666666666665
South Dakota Coyotes,9,5,0.6428571428571429,75.64285714285714,70.28571428571429,5.357142857142857
